gr	prop	sp	rb	mType	gType
H	0.0706067393725749	S	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
H	0.0736037685866648	S	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
H	0.0611488573193329	S	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0541602847103343	S	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0666458584147085	S	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0625215591583305	S	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
G	0.0739140358997445	S	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
G	0.0907313877559646	S	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
G	0.0622833770457694	S	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
O	0.0742041256211853	S	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
O	0.0764391944780474	S	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
O	0.063901461899026	S	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
H	0.0776081424936387	M	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
H	0.081267217630854	M	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
H	0.09043250327654	M	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
G	0.0675862068965517	M	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
G	0.0821428571428571	M	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
G	0.0790190735694823	M	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0634920634920635	M (PPA)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0923076923076923	M (PPA)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0738636363636364	M (PPA)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0652741514360313	M (PTE)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0778588807785888	M (PTE)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0626865671641791	M (PTE)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0648379052369077	M (PTS)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0539568345323741	M (PTS)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0617977528089888	M (PTS)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0714285714285714	M (PTT)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0751121076233184	M (PTT)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0753138075313808	M (PTT)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0738007380073801	M (PTV)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
C	0.075	M (PTV)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
C	0.0675105485232067	M (PTV)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
O	0.0653377630121816	M (PAB)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
O	0.0780141843971631	M (PAB)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
O	0.0683111954459203	M (PAB)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
O	0.0710526315789474	M (PPY)	≤4.25 cM/Mb	C-to-A	gBGC+ (TV)
O	0.08	M (PPY)	4.25-11.29 cM/Mb	C-to-A	gBGC+ (TV)
O	0.083743842364532	M (PPY)	>11.29 cM/Mb	C-to-A	gBGC+ (TV)
H	0.100031824134934	S	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
H	0.137549957960448	S	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
H	0.173298332303891	S	>11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.141257095233805	S	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
C	0.124719460174492	S	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.168652983787513	S	>11.29 cM/Mb	C-to-G	gBGC- (TV)
G	0.120234343792996	S	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
G	0.0986507047610997	S	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
G	0.14950200675672	S	>11.29 cM/Mb	C-to-G	gBGC- (TV)
O	0.101685961124632	S	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
O	0.130211817168339	S	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
O	0.135818707073283	S	>11.29 cM/Mb	C-to-G	gBGC- (TV)
H	0.11323155216285	M	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
