tel	sp	prop	mType	diff
2R	H	0.0736276841907404	C-to-A	0.0736276841907404
2R	C	0.0661950352341533	C-to-A	0.0661950352341533
2R	G	0.0645363118278175	C-to-A	0.0645363118278175
2R	O	0.0737162814661651	C-to-A	0.0737162814661651
4R	H	0.0819163066047197	C-to-A	0.0819163066047197
4R	C	0.0788821935983194	C-to-A	0.0788821935983194
4R	G	0.0768738192123238	C-to-A	0.0768738192123238
4R	O	0.0793748678393907	C-to-A	0.0793748678393907
5R	H	0.0656186691475882	C-to-A	0.0656186691475882
5R	C	0.0553569638514872	C-to-A	0.0553569638514872
5R	G	0.064798537517712	C-to-A	0.064798537517712
5R	O	0.0696727507891243	C-to-A	0.0696727507891243
6L	H	0.0626221901030771	C-to-A	0.0626221901030771
6L	C	0.0610886802080193	C-to-A	0.0610886802080193
6L	G	0.0654472530459139	C-to-A	0.0654472530459139
6L	O	0.0667106387999484	C-to-A	0.0667106387999484
6R	H	0.0718465236881071	C-to-A	0.0718465236881071
6R	C	0.0714837284776616	C-to-A	0.0714837284776616
6R	G	0.0706912181560352	C-to-A	0.0706912181560352
6R	O	0.0737574209165158	C-to-A	0.0737574209165158
7R	H	0.0789981815602471	C-to-A	0.0789981815602471
7R	C	0.0676187956391868	C-to-A	0.0676187956391868
7R	G	0.0690088822042348	C-to-A	0.0690088822042348
7R	O	0.0718070403097901	C-to-A	0.0718070403097901
8L	H	0.084569499020187	C-to-A	0.084569499020187
8L	C	0.0876687608344554	C-to-A	0.0876687608344554
8L	G	0.0955827812778226	C-to-A	0.0955827812778226
8L	O	0.0756823794491626	C-to-A	0.0756823794491626
8R	H	0.0758265481792532	C-to-A	0.0758265481792532
8R	C	0.0696645898860093	C-to-A	0.0696645898860093
8R	G	0.0828019457011008	C-to-A	0.0828019457011008
8R	O	0.0796195613084319	C-to-A	0.0796195613084319
9R	H	0.0696447920304172	C-to-A	0.0696447920304172
9R	C	0.0676788754889827	C-to-A	0.0676788754889827
9R	G	0.0752744785295074	C-to-A	0.0752744785295074
