dif	sp	mType	tel	ax
-0.355750350842077	H	C-to-A	2R	A
1.07072535969302	H	C-to-A	4R	A
-1.73410550490221	H	C-to-A	5R	A
-2.24980091972933	H	C-to-A	6L	A
-0.662288888450641	H	C-to-A	6R	A
0.568514704129341	H	C-to-A	7R	A
1.52734098856481	H	C-to-A	8L	A
0.0226751478383517	H	C-to-A	8R	A
-1.04120791430877	H	C-to-A	9R	A
0.850739223053898	H	C-to-A	10L	A
0.272086612275826	H	C-to-A	10R	A
0.0496154999965944	H	C-to-A	11L	A
1.07943644491033	H	C-to-A	11R	A
-1.11460817108366	H	C-to-A	12L	A
-0.0663964923354457	H	C-to-A	12R	A
-0.979786748038285	H	C-to-A	13R	A
-0.485563628000468	H	C-to-A	14R	A
1.22948288733804	H	C-to-A	16L	A
0.599639350169823	H	C-to-A	16R	A
-0.423139510326442	H	C-to-A	17L	A
0.392376782703037	H	C-to-A	18R	A
1.31895373283043	H	C-to-A	19L	A
1.66585622725564	H	C-to-A	19R	A
-0.700040574003546	H	C-to-A	21R	A
0.0894263147455685	H	C-to-A	22R	A
-0.924180573483821	H	C-to-A	PAR1	PAR1
-0.258667128929615	H	C-to-G	2R	A
-0.935585948493245	H	C-to-G	4R	A
-0.512765840097668	H	C-to-G	5R	A
-0.763627338424107	H	C-to-G	6L	A
-0.981764137298248	H	C-to-G	6R	A
-0.927907691869759	H	C-to-G	7R	A
2.33195717543956	H	C-to-G	8L	A
-0.0433462121494102	H	C-to-G	8R	A
0.296715062258636	H	C-to-G	9R	A
-0.234875689603744	H	C-to-G	10L	A
-0.633941058945755	H	C-to-G	10R	A
0.627941803089221	H	C-to-G	11L	A
-1.12304601606817	H	C-to-G	11R	A
-0.74623863537867	H	C-to-G	12L	A
-0.19661700536938	H	C-to-G	12R	A
-0.934386812415235	H	C-to-G	13R	A
0.440348238519792	H	C-to-G	14R	A
0.891000241775495	H	C-to-G	16L	A
1.719033583488	H	C-to-G	16R	A
0.381323726500316	H	C-to-G	17L	A
-1.17380404369216	H	C-to-G	18R	A
1.19768980420435	H	C-to-G	19L	A
-0.586907908153418	H	C-to-G	19R	A
-0.104930473268821	H	C-to-G	21R	A
-0.175243011679754	H	C-to-G	22R	A
2.4476453165618	H	C-to-G	PAR1	PAR1
0.51364321922012	H	C-to-T	2R	A
-1.72723121492786	H	C-to-T	4R	A
-0.614018386888892	H	C-to-T	5R	A
-1.81155520440069	H	C-to-T	6L	A
-0.366748013051072	H	C-to-T	6R	A
0.152142309477013	H	C-to-T	7R	A
-1.62336733551624	H	C-to-T	8L	A
0.713445439580783	H	C-to-T	8R	A
1.36115869792728	H	C-to-T	9R	A
-0.319741105236678	H	C-to-T	10L	A
0.763384260156703	H	C-to-T	10R	A
1.21047107167918	H	C-to-T	11L	A
-1.22043680703453	H	C-to-T	11R	A
-1.07598559470587	H	C-to-T	12L	A
0.537112851532035	H	C-to-T	12R	A
0.233767491615461	H	C-to-T	13R	A
1.11889552100279	H	C-to-T	14R	A
1.44614095510051	H	C-to-T	16L	A
0.116687962389844	H	C-to-T	16R	A
-0.184599303039033	H	C-to-T	17L	A
0.179470662670156	H	C-to-T	18R	A
1.38680371563128	H	C-to-T	19L	A
0.189103828211985	H	C-to-T	19R	A
0.251857362926371	H	C-to-T	21R	A
0.524155594068899	H	C-to-T	22R	A
-1.75455797838955	H	C-to-T	PAR1	PAR1
0.398861842999423	H	CpG-to-TpG	2R	A
-1.95999177665954	H	CpG-to-TpG	4R	A
-0.610261924730358	H	CpG-to-TpG	5R	A
-1.68161474763571	H	CpG-to-TpG	6L	A
-0.132117750105554	H	CpG-to-TpG	6R	A
0.472830757327594	H	CpG-to-TpG	7R	A
-1.13560068496864	H	CpG-to-TpG	8L	A
0.469406565069356	H	CpG-to-TpG	8R	A
1.38518157071914	H	CpG-to-TpG	9R	A
-0.135888308090282	H	CpG-to-TpG	10L	A
