spAbbr	bin	posCM	femaleFreq1	femaleFreq2	maleFreq1	maleFreq2	avgDiff	pval	pvalAdj	sign0.05	sign0.1	bfCorr0.05	bfCorr0.1	diff
GGG	1	0.98136863341394	2163	2397	467	493	0.0942434210526316	0.499564583897836	1	ns	ns	0.0025	0.005	-0.0121162280701754
GGG	2	1.96273726682788	1404	1598	297	335	0.0975183211192538	0.930138985236815	1	ns	ns	0.0025	0.005	-0.00224850099933377
GGG	3	2.94410590024182	1945	1855	411	389	0.104144736842105	0.937985713310825	1	ns	ns	0.0025	0.005	-0.00190789473684216
GGG	4	3.92547453365576	1556	1598	331	333	0.0972574508560558	0.830966790758462	1	ns	ns	0.0025	0.005	-0.00515218769816106
GGG	5	4.9068431670697	755	651	152	144	0.0910384068278805	0.481077955416365	1	ns	ns	0.0025	0.005	0.023470839260313
GGG	6	5.88821180048364	5783	5731	1203	1221	0.0908676393955185	0.607269821228308	1	ns	ns	0.0025	0.005	0.00597099183602567
GGG	7	6.86958043389758	6077	5779	1267	1229	0.0929276315789474	0.65955449296142	1	ns	ns	0.0025	0.005	0.00495529689608631
GGG	8	7.85094906731152	9700	8958	2049	1879	0.0900820023582378	0.846764642693403	1	ns	ns	0.0025	0.005	-0.00175527923678853
GGG	9	8.83231770072546	4582	4652	960	984	0.0877734459605805	0.861337440597437	1	ns	ns	0.0025	0.005	0.00238249945852287
GGG	10	9.8136863341394	3871	4717	832	976	0.098567768979972	0.466820317925482	1	ns	ns	0.0025	0.005	-0.00943176525384254
GGG	11	10.7950549675533	3504	2956	744	616	0.0873065015479876	0.764633067968504	1	ns	ns	0.0025	0.005	-0.00464396284829727
GGG	12	11.7764236009673	5994	6280	1297	1287	0.116608277660095	0.209368559564343	1	ns	ns	0.0025	0.005	-0.01358562815708
GGG	13	12.7577922343812	3850	4244	821	883	0.096213244378552	0.650177920260052	1	ns	ns	0.0025	0.005	-0.0061465282925624
GGG	14	13.7391608677952	7061	7113	1468	1516	0.105968675038803	0.545695336567824	1	ns	ns	0.0025	0.005	0.0062085508677861
GGG	15	14.7205295012091	6264	6314	1320	1328	0.0995388774049928	0.965898196145373	1	ns	ns	0.0025	0.005	-0.000477023374145347
GGG	16	15.701898134623	7905	8511	1652	1804	0.0995979532163743	0.708010922113345	1	ns	ns	0.0025	0.005	0.00353313840155944
GGG	17	16.683266768037	12450	13504	2621	2843	0.0896104646682592	1	1	ns	ns	0.0025	0.005	9.63242660090291e-06
GGG	18	17.6646354014509	9437	9981	2010	2078	0.093315480482027	0.513051865361451	1	ns	ns	0.0025	0.005	-0.00569059635389846
GGG	19	18.6460040348649	6974	6668	1438	1434	0.106179445829057	0.314338600677806	1	ns	ns	0.0025	0.005	0.0105189854859992
GGG	20	19.6273726682788	16359	15029	3465	3143	0.0933238817382439	0.64507751131968	1	ns	ns	0.0025	0.005	-0.00317796610169485
PPA	1	1.06599963351983	1895	2021	335	377	0.170199182839632	0.514496595581118	1	ns	ns	0.0025	0.005	0.0134065372829418
PPA	2	2.13199926703965	2093	1757	399	301	0.132597402597403	0.200906341785946	1	ns	ns	0.0025	0.005	-0.0263636363636364
