param	value	chrType
TL	0.108632333333333	A
TL	0.042208	A
TL	0.0916496666666667	A
TL	0.0763916666666667	A
TL	0.0196346666666667	A
TL	0.0859526666666667	A
TL	0.0814303333333333	A
TL	0.0545036666666667	A
TL	0.105612333333333	A
TL	0.0509716666666667	A
TL	0.0330623333333333	A
TL	0.092257	A
TL	0.106142333333333	A
TL	0.108075333333333	A
TL	0.100263	A
TL	0.090654	A
TL	0.0197373333333333	A
TL	0.082483	A
TL	0.0817863333333333	A
TL	0.102230333333333	A
TL	0.098971	A
TL	0.0352843333333333	A
TL	0.0419206666666667	A
TL	0.100985	A
TL	0.115408666666667	A
TL	0.0748393333333333	A
TL	0.0307863333333333	A
TL	0.084917	A
TL	0.100927666666667	A
TL	0.10639	A
TL	0.0896923333333333	A
TL	0.02385	A
TL	0.0865616666666667	A
TL	0.120453	A
TL	0.0694436666666667	A
TL	0.0275243333333333	A
TL	0.0908636666666667	A
TL	0.0798466666666667	A
TL	0.083223	A
TL	0.241485333333333	PAR1
N	2076	A
N	1249	A
N	1922	A
N	1802	A
N	1033	A
N	1603	A
N	1975	A
N	1394	A
N	2265	A
N	1443	A
N	1160	A
N	1925	A
N	2538	A
N	2314	A
N	1939	A
N	2110	A
N	916	A
N	2010	A
N	2119	A
N	2426	A
N	2359	A
N	1146	A
N	1297	A
N	2278	A
N	2256	A
N	1656	A
N	1102	A
N	1991	A
N	2279	A
N	2014	A
N	2222	A
N	1107	A
N	2060	A
N	2752	A
N	1764	A
N	1212	A
N	2366	A
N	2300	A
N	2246	A
N	4120	PAR1
Period	42.252408477842	A
Period	29.6709367493995	A
Period	37.4032258064516	A
Period	38.5205327413984	A
Period	18.6727976766699	A
Period	34.6612601372427	A
Period	43.9883544303797	A
Period	29.6793400286944	A
Period	38.7399558498896	A
Period	40.02079002079	A
Period	25.0198275862069	A
Period	38.2244155844156	A
Period	42.7202521670607	A
Period	42.3392394122731	A
Period	38.8994326972666	A
Period	43.0739336492891	A
Period	21.7478165938865	A
Period	43.1109452736318	A
Period	36.9650778669184	A
Period	34.8804616652927	A
Period	42.858838490886	A
Period	25.1570680628272	A
Period	32.9722436391673	A
Period	39.9126426690079	A
Period	39.7380319148936	A
Period	37.0591787439614	A
Period	31.2622504537205	A
Period	49.1793068809643	A
Period	44.5129442738043	A
Period	53.3172790466733	A
Period	44.2524752475247	A
Period	21.9575429087624	A
Period	35.4781553398058	A
Period	50.7718023255814	A
Period	47.6989795918367	A
Period	23.9851485148515	A
Period	39.4480135249366	A
Period	37.7234782608696	A
Period	38.3949243098842	A
Period	49.598786407767	PAR1
Copies	10.7203757225434	A
Copies	11.1134507606085	A
Copies	13.6206555671176	A
Copies	16.8109322974473	A
Copies	11.6376573088093	A
Copies	12.6002495321273	A
Copies	10.8798481012658	A
Copies	11.1040889526542	A
Copies	14.5990728476821	A
Copies	10.6595980595981	A
Copies	13.45	A
Copies	13.0718441558442	A
Copies	12.550512214342	A
Copies	14.0047968885048	A
Copies	10.9597730789067	A
Copies	12.2739336492891	A
Copies	10.7264192139738	A
Copies	11.5494029850746	A
Copies	12.1109957527135	A
Copies	15.3339241549876	A
Copies	14.0440016956337	A
Copies	15.2086387434555	A
Copies	11.0346183500386	A
Copies	14.9386742756804	A
Copies	13.4225177304965	A
Copies	18.1963768115942	A
Copies	10.1090744101633	A
Copies	9.83982923154194	A
Copies	11.5471698113208	A
Copies	9.62085402184707	A
Copies	10.3970297029703	A
Copies	10.7048780487805	A
Copies	12.4344660194175	A
Copies	11.401199127907	A
Copies	10.4647392290249	A
Copies	12.2248349834983	A
Copies	11.3162721893491	A
Copies	11.5838695652174	A
Copies	16.2837488869101	A
Copies	21.9074757281553	PAR1
M	0.179826589595376	A
M	0.143851080864692	A
M	0.168746097814776	A
M	0.167735849056604	A
M	0.140948693126815	A
M	0.136419213973799	A
M	0.159169620253165	A
M	0.137173601147776	A
M	0.176869757174393	A
M	0.13997920997921	A
M	0.150379310344828	A
M	0.170327272727273	A
M	0.170106382978723	A
M	0.171646499567848	A
M	0.164069107787519	A
M	0.175497630331754	A
M	0.123515283842795	A
M	0.164860696517413	A
M	0.170009438414346	A
M	0.181352019785655	A
M	0.181818567189487	A
M	0.143664921465969	A
M	0.130478026214341	A
M	0.175689201053556	A
M	0.182247340425532	A
M	0.183502415458937	A
M	0.137413793103448	A
M	0.153149171270718	A
M	0.160351031154015	A
M	0.136573982125124	A
M	0.160346534653465	A
M	0.134579945799458	A
M	0.171800970873786	A
M	0.163553779069767	A
M	0.153633786848073	A
M	0.138597359735974	A
M	0.172988165680473	A
M	0.166491304347826	A
M	0.173446126447017	A
M	0.196924757281553	PAR1
I	0.0491377649325626	A
I	0.0357886309047238	A
I	0.0423309053069719	A
I	0.0434017758046615	A
I	0.035459825750242	A
I	0.0327698066126014	A
I	0.0413518987341772	A
I	0.034454806312769	A
I	0.045121412803532	A
I	0.0325433125433125	A
I	0.0383879310344828	A
I	0.0440103896103896	A
I	0.0407801418439716	A
I	0.0446413137424373	A
I	0.0379731820526044	A
I	0.0435971563981043	A
I	0.0271288209606987	A
I	0.0412039800995025	A
I	0.0436101934874941	A
I	0.0466859027205276	A
I	0.0425349724459517	A
I	0.0348429319371728	A
I	0.0297841171935235	A
I	0.04414398595259	A
I	0.0468306737588653	A
I	0.0446859903381643	A
I	0.0342014519056261	A
I	0.0363435459568056	A
I	0.0385519964896885	A
I	0.0319314796425025	A
I	0.0402610261026103	A
I	0.0351942186088528	A
I	0.0441990291262136	A
I	0.0387427325581395	A
I	0.0328458049886621	A
I	0.0340016501650165	A
I	0.0446576500422654	A
I	0.0432130434782609	A
I	0.0442386464826358	A
I	0.0540509708737864	PAR1
