sp	POS	Mean_rho	len	num	spAbbr	spAbbr2	cMmbAvgREC	cMAvgREC
HUM	1	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	10001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	20001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	30001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	40001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	50001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	60001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	70001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	80001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	90001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	100001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	110001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	120001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	130001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	140001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	150001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	160001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	170001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	180001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	190001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	200001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	210001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	220001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	230001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	240001	NA	NA	0	HUM	HUM (N=220)	NA	NA
HUM	250001	0.00989849152750869	0.006863	2	HUM	HUM (N=220)	1.44229805150935	0.00989849152750869
HUM	260001	0.0144596672509764	0.01	0	HUM	HUM (N=220)	1.44596672509764	0.0144596672509764
HUM	270001	0.0144596672509764	0.01	0	HUM	HUM (N=220)	1.44596672509764	0.0144596672509764
HUM	280001	0.0144589958154948	0.01	1	HUM	HUM (N=220)	1.44589958154948	0.0144589958154948
HUM	290001	0.0144614987270782	0.01	0	HUM	HUM (N=220)	1.44614987270782	0.0144614987270782
HUM	300001	0.0144614987270782	0.01	0	HUM	HUM (N=220)	1.44614987270782	0.0144614987270782
HUM	310001	0.028944508331417	0.01	1	HUM	HUM (N=220)	2.8944508331417	0.028944508331417
HUM	320001	0.0347877066336338	0.01	0	HUM	HUM (N=220)	3.47877066336338	0.0347877066336338
HUM	330001	0.0282351733146997	0.01	1	HUM	HUM (N=220)	2.82351733146997	0.0282351733146997
HUM	340001	0.017774927316276	0.01	1	HUM	HUM (N=220)	1.7774927316276	0.017774927316276
HUM	350001	0.022212888580332	0.01	3	HUM	HUM (N=220)	2.2212888580332	0.022212888580332
HUM	360001	0.0245459761321909	0.01	0	HUM	HUM (N=220)	2.45459761321909	0.0245459761321909
HUM	370001	0.045113378087398	0.01	1	HUM	HUM (N=220)	4.5113378087398	0.045113378087398
HUM	380001	0.0522311078474213	0.01	1	HUM	HUM (N=220)	5.22311078474213	0.0522311078474213
HUM	390001	0.0523597020318537	0.01	0	HUM	HUM (N=220)	5.23597020318537	0.0523597020318537
HUM	400001	0.0523597020318537	0.01	0	HUM	HUM (N=220)	5.23597020318537	0.0523597020318537
HUM	410001	0.0523597020318537	0.01	0	HUM	HUM (N=220)	5.23597020318537	0.0523597020318537
HUM	420001	0.102728201018936	0.01	1	HUM	HUM (N=220)	10.2728201018936	0.102728201018936
HUM	430001	0.112125849922181	0.01	1	HUM	HUM (N=220)	11.2125849922181	0.112125849922181
HUM	440001	0.168728330824159	0.01	1	HUM	HUM (N=220)	16.8728330824159	0.168728330824159
HUM	450001	0.170970631456109	0.01	0	HUM	HUM (N=220)	17.0970631456109	0.170970631456109
HUM	460001	0.170970631456109	0.01	0	HUM	HUM (N=220)	17.0970631456109	0.170970631456109
HUM	470001	0.170970631456109	0.01	0	HUM	HUM (N=220)	17.0970631456109	0.170970631456109
HUM	480001	0.170970631456109	0.01	0	HUM	HUM (N=220)	17.0970631456109	0.170970631456109
HUM	490001	0.184081849071243	0.01	1	HUM	HUM (N=220)	18.4081849071243	0.184081849071243
HUM	500001	0.172613282754599	0.01	1	HUM	HUM (N=220)	17.2613282754599	0.172613282754599
HUM	510001	0.133271795841889	0.01	1	HUM	HUM (N=220)	13.3271795841889	0.133271795841889
HUM	520001	0.0588988326848249	0.01	0	HUM	HUM (N=220)	5.88988326848249	0.0588988326848249
HUM	530001	0.0666675456502082	0.01	1	HUM	HUM (N=220)	6.66675456502082	0.0666675456502082
HUM	540001	0.0504870632560002	0.01	1	HUM	HUM (N=220)	5.04870632560001	0.0504870632560002
HUM	550001	0.159954253807265	0.01	4	HUM	HUM (N=220)	15.9954253807265	0.159954253807265
HUM	560001	0.259711795908058	0.01	0	HUM	HUM (N=220)	25.9711795908058	0.259711795908058
HUM	570001	0.19125093320473	0.01	2	HUM	HUM (N=220)	19.125093320473	0.19125093320473
HUM	580001	0.138427654609102	0.01	0	HUM	HUM (N=220)	13.8427654609102	0.138427654609102
HUM	590001	0.152335781573872	0.01	1	HUM	HUM (N=220)	15.2335781573872	0.152335781573872
HUM	600001	0.156588324750285	0.01	0	HUM	HUM (N=220)	15.6588324750285	0.156588324750285
HUM	610001	0.156588324750285	0.01	0	HUM	HUM (N=220)	15.6588324750285	0.156588324750285
HUM	620001	0.179575960491837	0.01	1	HUM	HUM (N=220)	17.9575960491837	0.179575960491837
HUM	630001	0.180803232264072	0.01	1	HUM	HUM (N=220)	18.0803232264072	0.180803232264072
HUM	640001	0.168314172958133	0.01	0	HUM	HUM (N=220)	16.8314172958133	0.168314172958133
HUM	650001	0.168314172958133	0.01	0	HUM	HUM (N=220)	16.8314172958133	0.168314172958133
HUM	660001	0.168314172958133	0.01	0	HUM	HUM (N=220)	16.8314172958133	0.168314172958133
HUM	670001	0.170110783780654	0.01	1	HUM	HUM (N=220)	17.0110783780654	0.170110783780654
HUM	680001	0.11754755651539	0.01	3	HUM	HUM (N=220)	11.754755651539	0.11754755651539
HUM	690001	0.0628895191899609	0.01	1	HUM	HUM (N=220)	6.28895191899609	0.0628895191899609
HUM	700001	0.0449246091842048	0.01	5	HUM	HUM (N=220)	4.49246091842048	0.0449246091842048
HUM	710001	0.0227563959955506	0.01	0	HUM	HUM (N=220)	2.27563959955506	0.0227563959955506
HUM	720001	0.0505300594082179	0.01	2	HUM	HUM (N=220)	5.05300594082179	0.0505300594082179
HUM	730001	0.10202753964719	0.01	3	HUM	HUM (N=220)	10.202753964719	0.10202753964719
HUM	740001	0.14310883744104	0.01	1	HUM	HUM (N=220)	14.310883744104	0.14310883744104
HUM	750001	0.14698976341163	0.01	0	HUM	HUM (N=220)	14.698976341163	0.14698976341163
HUM	760001	0.171718907720838	0.01	1	HUM	HUM (N=220)	17.1718907720838	0.171718907720838
HUM	770001	0.196395890265062	0.01	1	HUM	HUM (N=220)	19.6395890265062	0.196395890265062
HUM	780001	0.196233310703779	0.01	0	HUM	HUM (N=220)	19.6233310703779	0.196233310703779
HUM	790001	0.196233310703779	0.01	0	HUM	HUM (N=220)	19.6233310703779	0.196233310703779
HUM	800001	0.190381414410686	0.01	1	HUM	HUM (N=220)	19.0381414410686	0.190381414410686
HUM	810001	0.0868098029735283	0.01	0	HUM	HUM (N=220)	8.68098029735283	0.0868098029735283
HUM	820001	0.0868098029735283	0.01	0	HUM	HUM (N=220)	8.68098029735283	0.0868098029735283
HUM	830001	0.0868098029735283	0.01	0	HUM	HUM (N=220)	8.68098029735283	0.0868098029735283
HUM	840001	0.0682398099999985	0.01	1	HUM	HUM (N=220)	6.82398099999985	0.0682398099999985
HUM	850001	0.0618494216507092	0.01	1	HUM	HUM (N=220)	6.18494216507092	0.0618494216507092
HUM	860001	0.0618492775081571	0.01	0	HUM	HUM (N=220)	6.18492775081571	0.0618492775081571
HUM	870001	0.0618492775081571	0.01	0	HUM	HUM (N=220)	6.18492775081571	0.0618492775081571
HUM	880001	0.0618492775081571	0.01	0	HUM	HUM (N=220)	6.18492775081571	0.0618492775081571
HUM	890001	0.0744218551672017	0.01	4	HUM	HUM (N=220)	7.44218551672017	0.0744218551672017
HUM	900001	0.0615800368928059	0.01	0	HUM	HUM (N=220)	6.15800368928059	0.0615800368928059
HUM	910001	0.0615800368928059	0.01	0	HUM	HUM (N=220)	6.15800368928059	0.0615800368928059
HUM	920001	0.087677506880649	0.01	1	HUM	HUM (N=220)	8.7677506880649	0.087677506880649
HUM	930001	0.0884328586102551	0.01	0	HUM	HUM (N=220)	8.84328586102551	0.0884328586102551
HUM	940001	0.0884328586102551	0.01	0	HUM	HUM (N=220)	8.84328586102551	0.0884328586102551
HUM	950001	0.13496315893577	0.01	1	HUM	HUM (N=220)	13.496315893577	0.13496315893577
HUM	960001	0.219225725784316	0.01	1	HUM	HUM (N=220)	21.9225725784316	0.219225725784316
HUM	970001	0.228495881141512	0.01	0	HUM	HUM (N=220)	22.8495881141512	0.228495881141512
HUM	980001	0.0466355656482478	0.01	2	HUM	HUM (N=220)	4.66355656482478	0.0466355656482478
HUM	990001	0.0408600052613118	0.01	0	HUM	HUM (N=220)	4.08600052613118	0.0408600052613118
HUM	1000001	0.0395915261185353	0.01	1	HUM	HUM (N=220)	3.95915261185353	0.0395915261185353
HUM	1010001	0.0361579110171676	0.01	0	HUM	HUM (N=220)	3.61579110171676	0.0361579110171676
HUM	1020001	0.0356856518147367	0.01	1	HUM	HUM (N=220)	3.56856518147367	0.0356856518147367
HUM	1030001	0.0387443961932245	0.01	1	HUM	HUM (N=220)	3.87443961932245	0.0387443961932245
HUM	1040001	0.0737092907586845	0.01	1	HUM	HUM (N=220)	7.37092907586845	0.0737092907586845
HUM	1050001	0.157670357434792	0.01	0	HUM	HUM (N=220)	15.7670357434792	0.157670357434792
HUM	1060001	0.165574900583051	0.01	1	HUM	HUM (N=220)	16.5574900583051	0.165574900583051
HUM	1070001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1080001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1090001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1100001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1110001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1120001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1130001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1140001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1150001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1160001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1170001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1180001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1190001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1200001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1210001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1220001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1230001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1240001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1250001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1260001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1270001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1280001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1290001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1300001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1310001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1320001	0.166253268340733	0.01	0	HUM	HUM (N=220)	16.6253268340733	0.166253268340733
HUM	1330001	0.149652752235947	0.01	1	HUM	HUM (N=220)	14.9652752235947	0.149652752235947
HUM	1340001	0.112653104223242	0.01	0	HUM	HUM (N=220)	11.2653104223242	0.112653104223242
HUM	1350001	0.112653104223242	0.01	0	HUM	HUM (N=220)	11.2653104223242	0.112653104223242
HUM	1360001	0.112653104223242	0.01	0	HUM	HUM (N=220)	11.2653104223242	0.112653104223242
HUM	1370001	0.112653104223242	0.01	0	HUM	HUM (N=220)	11.2653104223242	0.112653104223242
HUM	1380001	0.112653104223242	0.01	0	HUM	HUM (N=220)	11.2653104223242	0.112653104223242
HUM	1390001	0.112653104223242	0.01	0	HUM	HUM (N=220)	11.2653104223242	0.112653104223242
HUM	1400001	0.136596482357257	0.01	3	HUM	HUM (N=220)	13.6596482357257	0.136596482357257
HUM	1410001	0.139300254967825	0.01	0	HUM	HUM (N=220)	13.9300254967825	0.139300254967825
HUM	1420001	0.113842359217473	0.01	2	HUM	HUM (N=220)	11.3842359217473	0.113842359217473
HUM	1430001	0.0665887481611711	0.01	0	HUM	HUM (N=220)	6.65887481611711	0.0665887481611711
HUM	1440001	0.0665887481611711	0.01	0	HUM	HUM (N=220)	6.65887481611711	0.0665887481611711
HUM	1450001	0.0676788688605373	0.01	1	HUM	HUM (N=220)	6.76788688605373	0.0676788688605373
HUM	1460001	0.0638362130270073	0.01	1	HUM	HUM (N=220)	6.38362130270073	0.0638362130270073
HUM	1470001	0.0259659597731431	0.01	3	HUM	HUM (N=220)	2.59659597731431	0.0259659597731431
HUM	1480001	0.0172131139426667	0.01	2	HUM	HUM (N=220)	1.72131139426667	0.0172131139426667
HUM	1490001	0.0203293511615256	0.01	2	HUM	HUM (N=220)	2.03293511615256	0.0203293511615256
HUM	1500001	0.0275474452698617	0.01	6	HUM	HUM (N=220)	2.75474452698617	0.0275474452698617
HUM	1510001	0.0425102836879433	0.01	0	HUM	HUM (N=220)	4.25102836879433	0.0425102836879433
HUM	1520001	0.0425082818719097	0.01	1	HUM	HUM (N=220)	4.25082818719097	0.0425082818719097
HUM	1530001	0.0425129226793022	0.01	0	HUM	HUM (N=220)	4.25129226793022	0.0425129226793022
HUM	1540001	0.0898239452903977	0.01	3	HUM	HUM (N=220)	8.98239452903977	0.0898239452903977
HUM	1550001	0.0968651974200919	0.01	0	HUM	HUM (N=220)	9.68651974200919	0.0968651974200919
HUM	1560001	0.0968651974200919	0.01	0	HUM	HUM (N=220)	9.68651974200919	0.0968651974200919
HUM	1570001	0.0968651974200919	0.01	0	HUM	HUM (N=220)	9.68651974200919	0.0968651974200919
HUM	1580001	0.0833714277605135	0.01	3	HUM	HUM (N=220)	8.33714277605135	0.0833714277605135
HUM	1590001	0.0819577511300076	0.01	0	HUM	HUM (N=220)	8.19577511300076	0.0819577511300076
HUM	1600001	0.0819577511300076	0.01	0	HUM	HUM (N=220)	8.19577511300076	0.0819577511300076
HUM	1610001	0.0819577511300076	0.01	0	HUM	HUM (N=220)	8.19577511300076	0.0819577511300076
HUM	1620001	0.0819577511300076	0.01	0	HUM	HUM (N=220)	8.19577511300076	0.0819577511300076
HUM	1630001	0.0742783881471778	0.01	1	HUM	HUM (N=220)	7.42783881471778	0.0742783881471778
HUM	1640001	0.0708029347744502	0.01	0	HUM	HUM (N=220)	7.08029347744502	0.0708029347744502
HUM	1650001	0.0707957186673461	0.01	1	HUM	HUM (N=220)	7.07957186673461	0.0707957186673461
