tel	len	rates	sp	atgc	gcat	atgcPerSite	gcatPerSite	sums	ax	gcCurr	gcStar	ts	tv	perYearRates	atgcPerYearRates	gcatPerYearRates	gcDiff
2R	242193529	0.00767849	H	2018.57	3200.28	0.00527337401079336	0.00771566910226617	797562.02	A	0.5185329652619	0.405986335166704	4376.18	1714.16	0.000705743566176471	0.000484685111286155	0.000709160763075935	-0.112546630095195
2R	128755405	0.00789831	C	2181.68	3258.41	0.00569948786169332	0.00785581679087928	797562	A	0.518662149806411	0.4204618050109	4547.34	1716.89	0.000725947610294118	0.000523849987287989	0.000722041984455816	-0.0982003447955117
2R	151576176	0.0100447	G	2686.55	4214.06	0.00701754211824792	0.0101610087042244	797561.98	A	0.51806012474461	0.408506060305614	5839.86	2113.51	0.000775054012345679	0.000541477015296907	0.000784028449400028	-0.109554064438996
2R	129937803	0.0200639	O	4855.31	8866.93	0.0127016775974345	0.0213504236311928	797562.02	A	0.515652024497403	0.373007160766817	11573.1	4192.17	0.000841253668763103	0.000532565098424926	0.000895195959379151	-0.142644863730586
4R	190214555	0.00839462	H	1971.08	1908.72	0.00589349044204946	0.00900099185769386	546506.99	A	0.388177788672439	0.39568279873353	3083.78	1474.27	0.000771564338235294	0.000541681106806016	0.000827297045743921	0.00750501006109094
4R	189151597	0.00820594	C	1805.55	1945.2	0.00539855899691661	0.00917302051126432	546507.01	A	0.387793629916089	0.370485505286897	2977.5	1478.04	0.000754222426470588	0.000496191084275424	0.000843108502873559	-0.0173081246291915
4R	203093366	0.00995536	G	2361.47	2168.3	0.0070579674660478	0.0102314575299432	546507	A	0.38817961799985	0.40822453422739	3628.6	1769.66	0.00076816049382716	0.000544596255096281	0.000789464315582034	0.0200449162275397
4R	189387572	0.020011	O	4187.52	5001.55	0.0124922675097945	0.0236705945625712	546506.99	A	0.385203302301843	0.345444657693193	7498.32	3261.01	0.000839035639412998	0.000523784801249245	0.000992477759436946	-0.0397586446086501
5R	181538259	0.00744497	H	1838.04	2150.49	0.00561585886474431	0.0072025010763611	625870	A	0.47654887049877	0.43811056098804	3300.24	1333.75	0.000684280330882353	0.000516163498597823	0.000661994584224366	-0.0384383095107299
5R	159319378	0.00765483	C	2007.73	2068.16	0.00613432132816384	0.00692675861082211	625870	A	0.476961050579928	0.469664174541459	3364.22	1399.72	0.000703568933823529	0.000563816298544471	0.000636650607612326	-0.00729687603846918
5R	165317712	0.00967351	G	2457.09	2759.61	0.00750051535536137	0.00925172688944867	625870.02	A	0.476098348084481	0.447732025704504	4263.95	1746.53	0.000746412808641975	0.000578743468777883	0.000713867815543879	-0.0283663223799767
5R	179185813	0.0196333	O	4445.65	5955.57	0.0135533952830593	0.0199945330006132	625869.98	A	0.473502252612071	0.404000961503654	8587.19	3516.38	0.000823199161425576	0.000568276531784457	0.000838345199187135	-0.0695012911084176
6L	170805979	0.00747481	H	4136.71	3681.19	0.00593778578584188	0.00699502254110903	1222934.01	A	0.430557963925705	0.459125785810033	6402.25	2687.5	0.000687022977941176	0.000545752370022232	0.000642924865910756	0.0285678218843283
6L	168369391	0.00758914	C	4179.59	3700.08	0.00599933524289758	0.00703091758255373	1222934	A	0.430590681406983	0.460415873986681	6350.2	2877.02	0.00069753125	0.00055140948923691	0.00064622404251413	0.0298251925796982
6L	173266796	0.00941545	G	5257.86	4500.49	0.00753705515228561	0.00856693389544575	1222934.01	A	0.430059840273256	0.468024110668865	7981.95	3449.68	0.000726500771604938	0.000581562897552902	0.000661028849957234	0.0379642703956085
6L	169501136	0.0190941	O	9707.83	10002.78	0.0138730444155981	0.0191194876132221	1222934.02	A	0.427458800511701	0.420490443215437	16006.57	7000.43	0.000800591194968553	0.00058167901113619	0.000801655665124616	-0.00696835729626394
6R	170805979	0.00763724	H	2754.81	3571.06	0.0053001093283067	0.00803682356221144	964101.99	A	0.460033155804287	0.397400914574205	5198.13	2124.54	0.000701952205882353	0.000487142401498778	0.000738678636232669	-0.0626322412300828
