sp	POS	nS	nCall	pi	pi_nvar	spAbbr2
NEA	250001	2	3973	2	2	NEA (N=637)
NEA	260001	6	3370	6	6	NEA (N=637)
NEA	270001	0	3066	0	0	NEA (N=637)
NEA	280001	1	4418	1	1	NEA (N=637)
NEA	290001	0	2795	0	0	NEA (N=637)
NEA	300001	0	4113	0	0	NEA (N=637)
NEA	330001	8	6702	8	8	NEA (N=637)
NEA	340001	1	5953	1	1	NEA (N=637)
NEA	350001	4	7396	4	4	NEA (N=637)
NEA	360001	0	4848	0	0	NEA (N=637)
NEA	370001	10	6528	10	10	NEA (N=637)
NEA	380001	1	5353	1	1	NEA (N=637)
NEA	390001	0	3763	0	0	NEA (N=637)
NEA	400001	0	3650	0	0	NEA (N=637)
NEA	410001	6	3727	6	6	NEA (N=637)
NEA	420001	0	3535	0	0	NEA (N=637)
NEA	430001	5	4513	5	5	NEA (N=637)
NEA	440001	1	4793	1	1	NEA (N=637)
NEA	450001	4	3888	4	4	NEA (N=637)
NEA	460001	0	4796	0	0	NEA (N=637)
NEA	470001	3	4638	3	3	NEA (N=637)
NEA	480001	2	4443	2	2	NEA (N=637)
NEA	490001	1	4276	1	1	NEA (N=637)
NEA	500001	0	4023	0	0	NEA (N=637)
NEA	510001	4	3169	4	4	NEA (N=637)
NEA	520001	0	2759	0	0	NEA (N=637)
NEA	530001	3	3708	3	3	NEA (N=637)
NEA	540001	0	4293	0	0	NEA (N=637)
NEA	550001	2	4065	2	2	NEA (N=637)
NEA	560001	1	4939	1	1	NEA (N=637)
NEA	570001	2	6641	2	2	NEA (N=637)
NEA	580001	5	4052	5	5	NEA (N=637)
NEA	590001	2	4722	2	2	NEA (N=637)
NEA	600001	1	4115	1	1	NEA (N=637)
NEA	610001	1	5371	1	1	NEA (N=637)
NEA	620001	1	4788	1	1	NEA (N=637)
NEA	630001	2	7991	2	2	NEA (N=637)
NEA	640001	2	4906	2	2	NEA (N=637)
NEA	650001	0	4382	0	0	NEA (N=637)
NEA	660001	11	3915	11	11	NEA (N=637)
NEA	670001	4	4669	4	4	NEA (N=637)
NEA	680001	11	4350	11	11	NEA (N=637)
NEA	690001	8	4235	8	8	NEA (N=637)
NEA	700001	10	5242	10	10	NEA (N=637)
NEA	710001	0	5303	0	0	NEA (N=637)
NEA	720001	0	5100	0	0	NEA (N=637)
NEA	730001	3	4935	3	3	NEA (N=637)
NEA	740001	9	3545	9	9	NEA (N=637)
NEA	750001	0	4907	0	0	NEA (N=637)
NEA	760001	2	3801	2	2	NEA (N=637)
NEA	770001	1	5788	1	1	NEA (N=637)
NEA	780001	3	3731	3	3	NEA (N=637)
NEA	790001	0	4617	0	0	NEA (N=637)
NEA	800001	3	4619	3	3	NEA (N=637)
NEA	810001	3	4389	3	3	NEA (N=637)
NEA	820001	0	4897	0	0	NEA (N=637)
NEA	830001	0	2688	0	0	NEA (N=637)
NEA	850001	5	4120	5	5	NEA (N=637)
NEA	860001	3	4815	3	3	NEA (N=637)
NEA	870001	3	4272	3	3	NEA (N=637)
NEA	880001	0	4083	0	0	NEA (N=637)
NEA	890001	12	3166	12	12	NEA (N=637)
NEA	920001	0	3702	0	0	NEA (N=637)
NEA	930001	5	4207	5	5	NEA (N=637)
NEA	940001	12	3936	12	12	NEA (N=637)
NEA	950001	3	5561	3	3	NEA (N=637)
NEA	960001	3	4438	3	3	NEA (N=637)
NEA	970001	1	4485	1	1	NEA (N=637)
NEA	980001	0	3885	0	0	NEA (N=637)
NEA	990001	3	3713	3	3	NEA (N=637)
NEA	1000001	0	3739	0	0	NEA (N=637)
NEA	1010001	0	3126	0	0	NEA (N=637)
NEA	1020001	4	3938	4	4	NEA (N=637)
NEA	1030001	1	4501	1	1	NEA (N=637)
NEA	1040001	2	5023	2	2	NEA (N=637)
NEA	1050001	6	3474	6	6	NEA (N=637)
NEA	1060001	4	3776	4	4	NEA (N=637)
NEA	1110001	8	5006	8	8	NEA (N=637)
NEA	1120001	11	5250	11	11	NEA (N=637)
NEA	1130001	7	4502	7	7	NEA (N=637)
NEA	1140001	8	2872	8	8	NEA (N=637)
NEA	1150001	6	3461	6	6	NEA (N=637)
NEA	1200001	1	3772	1	1	NEA (N=637)
NEA	1210001	0	3544	0	0	NEA (N=637)
NEA	1220001	2	4132	2	2	NEA (N=637)
NEA	1240001	1	3058	1	1	NEA (N=637)
NEA	1250001	5	2712	5	5	NEA (N=637)
NEA	1260001	0	2941	0	0	NEA (N=637)
NEA	1280001	0	3180	0	0	NEA (N=637)
NEA	1290001	4	2775	4	4	NEA (N=637)
NEA	1300001	3	4233	3	3	NEA (N=637)
NEA	1310001	2	3148	2	2	NEA (N=637)
NEA	1320001	7	3061	7	7	NEA (N=637)
NEA	1330001	9	2661	9	9	NEA (N=637)
NEA	1340001	12	3126	12	12	NEA (N=637)
NEA	1350001	5	4604	5	5	NEA (N=637)
NEA	1380001	1	4528	1	1	NEA (N=637)
NEA	1390001	0	5771	0	0	NEA (N=637)
NEA	1400001	4	2969	4	4	NEA (N=637)
NEA	1410001	2	5722	2	2	NEA (N=637)
NEA	1420001	0	5046	0	0	NEA (N=637)
NEA	1430001	1	5152	1	1	NEA (N=637)
NEA	1440001	0	3641	0	0	NEA (N=637)
NEA	1450001	1	3710	1	1	NEA (N=637)
NEA	1460001	1	5531	1	1	NEA (N=637)
NEA	1470001	1	4644	1	1	NEA (N=637)
